property_id,suburb,postcode,address,sale_price,sale_date,sale_method,property_type,bedrooms,bathrooms,car_spaces,total_rooms,distance_to_cbd_km,condition_rating,has_pool,has_water_view,agent_description,source_url,verified
MOS-011,Mosman,2088,7/154 Raglan Street,785000.0,2026-07-14,privateTreaty,Apartment,1,1,1.0,2,4.98,,0,1,"Positioned privately on the top floor within a double brick complex, this newly renovated one-bedroom apartment delivers an abundance of natural light with a refined blend of space and low-maintenance living.  Recently refreshed throughout, the property features new kitchen with stone benchtops, dishwasher, induction cooktop, with ample storage offering both functionality and modern appeal. New timber flooring, paint, blinds & light fittings enhance its light-filled and contemporary presentation. The layout offers Spacious combined living and dining providing comfort and functionality.  The generously proportioned bedroom is complemented by a well-kept bathroom, while the living space flows to a private balcony with leafy outlook, creating a relaxed outdoor area. Further enhancing the appeal is a secure lock-up garage on a separate title.  An excellent opportunity for owner-occupiers or investors alike, this residence presents a quality, move-in ready offering within a well-maintained double brick building in a highly accessible setting.  You will love: - Renovated kitchen - New Timber Flooring  - Freshly Painted - Oversized one-bedroom layout - Spacious combined living and dining  - Private balcony with leafy outlook - Secure lock-up garage on separate title   Close proximity: - 400m from Mosman Village  - 300m to Buses to CBD, North Sydney & surrounds - 5 min drive to Balmoral Beach  - 5 min drive to Mosman Bay Wharf",https://www.domain.com.au/7-154-raglan-street-mosman-nsw-2088-2020899047,y
MOS-012,Mosman,2088,4/3 Millett Road,1050000.0,2026-07-16,privateTreaty,Apartment,2,1,1.0,3,4.62,,0,1,"Tucked away in a leafy, private setting, this beautifully renovated two-bedroom apartment offers a serene lifestyle retreat just moments from Mosman Bay Wharf and Avenue Road cafes. The peaceful surroundings create an almost rainforest-like atmosphere, while ferry access to the city is conveniently positioned at the end of Avenue Road.  Immaculately presented throughout, this ground-floor apartment was fully renovated in 2023. Fresh, modern and ready to enjoy, the home features a new kitchen, renovated bathroom and new wood effect, laminate floorboards, creating an easy, low-maintenance lifestyle just moments from Mosman's most desirable harbourside pockets.  Designed for everyday comfort and practicality, the apartment includes an internal laundry (shared laundry facilities also available) and a gas hot-water system. Both bedrooms also feature newly installed Daikin air conditioning, offering a valuable point of difference within the block.  Set within a boutique block, the apartment enjoys a tranquil, verdant outlook and the convenience of a covered carport. It presents an exceptional opportunity for first-home buyers, downsizers, and investors seeking a move-in-ready property close to Mosman village, local cafes and restaurants, waterfront reserves, parks, beaches, and city transport.",https://www.domain.com.au/4-3-millett-road-mosman-nsw-2088-2020912133,y
MOS-013,Mosman,2088,11/23 Warringah Road,865000.0,2026-07-31,privateTreaty,Apartment,1,1,1.0,2,6.57,,0,1,"Holding a prized position in a boutique security building, this renovated apartment captures stunning north-east views across Chinamans Beach to Clontarf. Bathed in natural light, the spacious living and dining areas flow effortlessly to the outlook, creating a peaceful coastal retreat.  Quietly positioned yet only moments from Spit Junction, Balmoral and Chinamans Beach, with easy access to transport, this is an outstanding opportunity to enjoy the best of the Lower North Shore lifestyle.  * Stylish gas kitchen with dishwasher and generous storage * Sunlit open plan living and dining with dedicated study nook * Spacious queen-sized bedroom with floor-to-ceiling mirrored robes * Beautifully updated bathroom, Internal laundry  * Motorised blinds, ceiling fans and fresh modern finishes throughout * Undercover parking space plus additional storage  Apartment 49.3sqm   Strata $1,576pq approx.  Council $391pq approx.  Water $202pq approx.",https://www.domain.com.au/11-23-warringah-road-mosman-nsw-2088-2020984830,y
MOS-014,Mosman,2088,2/81A Glover Street,1440000.0,2026-06-25,privateTreaty,Apartment,2,2,1.0,4,5.0,,0,0,"Boasting an enviable lifestyle location embracing Mosman and Cremorne, this superb ground floor apartment offering 195sqm on title presents a wonderful opportunity for a range of savvy buyers.   It's perfectly situated within a peaceful, secure building and features its own private street entrance via beautifully manicured gardens. Delivering an instant sense of space, the expansive living room flows through to a tidy modern kitchen with stone benchtops, gas cooking and a breakfast bar. There's a family bathroom with a dual vanity, bathtub and shower, plus two sizeable bedrooms, including a master with a walk-in robe and ensuite. Complementing the welcoming interiors is a covered alfresco area and a large wraparound courtyard, providing the ideal space to relax or entertain.   Additional highlights include ducted heating and cooling throughout, a secure parking space and storage room with convenient lift access, a video intercom system and an internal laundry. This outstanding property is just a 200m walk to Cremorne Shopping Village, express city buses and a host of vibrant cafes and restaurants.",https://www.domain.com.au/2-81a-glover-street-mosman-nsw-2088-2020759512,y
MOS-015,Mosman,2088,17 Avenue Road,5450000.0,2026-06-19,privateTreaty,House,5,3,2.0,8,4.31,,0,0,,https://www.domain.com.au/17-avenue-road-mosman-nsw-2088-2020786599,y
MOS-016,Mosman,2088,21 Morella Road,11650000.0,2026-07-01,privateTreaty,House,4,4,2.0,8,5.02,,0,0,"At the peak of new Mosman luxury, the c1950s 'El Mirasol' is a flawlessly renovated designer residence overlooking Chowder Bay from its prestigious Clifton Gardens location. Illuminated by a prized north east aspect, striking interiors showcase a bespoke fusion of contemporary design, Hollywood Glamour and Neo Deco while basking in world class views of the bay. Entry via a custom pivot door reveals a vast open living/dining space with full height stacking glass extending the home's footprint onto a sunlit entertainers' terrace. The sensational open kitchen is fitted with luxury appliances and a fully equipped butlers' pantry to ensure effortless hosting, while decadent bedrooms including a palatial main bedroom suite reside on the ground floor for wonderful privacy.   There are four designer bathrooms and one powder room of breathtaking inspiration plus ducted air conditioning, a fireplace and internal entry to a double lock-up garage. With direct secure access to Clifton Gardens and Chowder Bay, this palatial residence offers a world class lifestyle experience in a prestigious harbourside location. Its tranquil setting is just moments to Mosman Village, Bradleys Head walking trails and local buses.  - Innovative dual level design creates open living/dining space plus ground floor media/lounge/home office - Meticulously curated interiors echo the adjoining bay's curves, natural elements and glistening radiance - Sunlit entertainers' terrace with outdoor barbecue kitchen for an incredible outdoor dining experience - Decadent bedrooms appointed with luxurious finishes and custom built-ins, two offer access to second deck - Palatial main bedroom indulges in walk-in wardrobe, glamorous ensuite and idyllic bay view deck access - Inspired main bathroom evokes Hollywood Glam with freestanding mirror bath and frameless glass rainshower - Signorino supplied Honed Terrazzo flooring (Bianco Neve), custom joinery throughout - Level easycare lawns with meandering landscaped garden path for direct and secure access to Chowder Bay - Full height marble feature wall with fireplace, ducted air conditioning, designer lighting, internal access to garage - Prized harbourside location in one of Sydney's most exclusive suburbs, close to schools, village life and transport  A paradise for executive families or couples seeking world class designer luxury in a prestigious harbourside setting.",https://www.domain.com.au/21-morella-road-mosman-nsw-2088-2020801931,y
MOS-017,Mosman,2088,5 Central Avenue,6399000.0,2026-06-19,privateTreaty,House,5,4,2.0,9,6.86,,0,0,"Embracing its due north aspect in style, this newly and holistically renovated family home proudly sits upon a beautifully landscaped 607sqm landholding with resort style swimming pool and child friendly gardens.   Combining soft neutrals and organic forms, the chic interiors are finished in a textured materials palette superbly contrasting against sleek walls of strategic glass. Re-imagined to create a sunlit designer haven, an innovative internal courtyard filters northern sun into the separate lounge room. A sculptural staircase artfully rests within the entry alongside the entertainer's dining room with feature sandstone fireplace. Centred around a curved island bench, the modern shaker kitchen cabinetry is topped in a textured porcelain benchtop. Fitted with a selection of high-end Miele and Smeg appliances, the kitchen has also been integrated with a Liebherr French Door refrigerator and a Vintec wine fridge.  Set alight by northern sun, the primary living room connects to a full-length entertainer's terrace overlooking the pool. Clever timber screening next to custom joinery adds both interest and warmth. Mirroring the timber screening upstairs in the master bedroom for cohesion, the master connects to a boutique style walk-in robe and a six-star ensuite bathroom. Luxe tiling choices and bronze tapware personalise each of the bathrooms. Three more generous bedrooms are placed upstairs alongside an upper-level TV room, a guest room with access to a full bathroom is located on the living level.  Poolside, the lower level offers a music room or rumpus room, vast storage options, a family friendly laundry with laundry chute and fourth bathroom. An undercover terrace sits just off the pool area with stairs leading down to a garden patio, perfect to relax year-round.   A striking addition to the wide family friendly streetscape with an oversized double garage and landscaped front courtyard, discover the endless appeal of Beauty Point with its easy access, just 400m from local schools and 100m bus transport with connection to Spit Junction.  • Paved forecourt with low-maintenance gardens • Timber front door with convenient keyless entry • Japanese maple centrepiece in internal courtyard • Fixed glass walls in the lounge and living rooms • Coffered ceiling and custom joinery in dining room • Wall to wall built-in low-line joinery in living room  • French doors and sliding doors open to terrace • Textured porcelain tops neutral kitchen joinery • White Smeg gas cooker and Miele steam oven • Integrated Miele dishwasher, Smeg microwave • Built-in Liebherr refrigerator, Vintec wine fridge • Sleek built-in robes in all bedrooms, roller blinds • Balcony off bedroom two with harbour views • District views from master bed, WIR and ensuite • Wet room style bathroom with freestanding bath • Soft tones unite the bathrooms, oak vanities • Music room/rumpus downstairs, TV room upstairs • Undercover poolside terrace, subfloor storage • Combined laundry (with chute) and 4th bathroom • Pool enclosed by glass balustrading, mosaic tiles • Backyard oasis, lawns for play and trampolines • Ducted reverse-cycle air-conditioning, storerooms • Undercover access to front door from double garage • 100m to local bus stop, 500m to Spit Road buses • 400m to popular Beauty Point Public School • 800m to Chinamans Beach and Rosherville Reserve  * All information contained herein is gathered from sources we consider to be reliable, however we cannot guarantee or give any warranty to the information provided.   Looking for a home loan? Contact Loan Market's Matt Clayton, our preferred broker. He doesn't work for the banks, he works for you. Call him on 0414 877 333 or visit https://broker.loanmarket.com.au/lower-north-shore/  For more information or to arrange an inspection, contact Sabrina Gao 0433 666 591 or Bernard Ryan 0408 408 509.",https://www.domain.com.au/5-central-avenue-mosman-nsw-2088-2020825168,y
MOS-018,Mosman,2088,31/2B Brady Street,1925000.0,2026-06-17,privateTreaty,Apartment,3,2,2.0,5,5.77,,0,0,"Securely set within the idyllic 'Beech Grove' pavilion within the popular lifestyle estate 'Bridlewood Gardens', this immaculately presented apartment offers the best of single level living in an uber convenient setting.  Built by Mirvac and promising minimal maintenance, there is a generous 178qm on title. Wonderfully spacious and L-shaped in its configuration, the living and dining room both connect to the granite kitchen. United by practical floorboards, the kitchen is equipped with quality appliances including gas cooking and a dishwasher.   Presenting three inviting bedrooms, all bedrooms are appointed with ample built-in robes. The master connects to its own private balcony and full ensuite with bathtub. Sure to impress, the apartment is to be sold with vast internal and external storage options, ducted reverse cycle air-conditioning and intercom system.  Ready to enjoy immediately, there is level lift access from the manicured grounds and basement level parking. Located for lifestyle in the heart of Mosman neighbouring Bridgepoint Shopping Centre, downsize in style within one of the North Shore's most sought-after addresses.  - Immaculately presented offering immediate comfort - Sliding glass doors opening to balcony off lounge - Breakfast nook opening to leafy alfresco dining - Floorboards in the kitchen, granite benchtops - Gas cooktop, double sink and dishwasher - Master bedroom opening to private balcony - Master also with two built-in robes and ensuite - Ensuite featuring separate bath and shower - Second bathroom mirroring finishes of the ensuite - Bedrooms two and three enjoy a northerly aspect - Walk-in laundry room, spacious linen cupboard - Two security car spaces plus storage cage - Ducted reverse cycle air-conditioning, intercom - Lush gardens, green space with water features - Secure frontage and pavilion, level lift access - Less than 100m to supermarkets and popular cafes - Approx. 250m to Mosman Junction speciality stores - 270m to Anytime Fitness, 350m to swim centre - 350m to B-Line city bus transport at Spit Junction  * All information contained herein is gathered from sources we consider to be reliable, however we cannot guarantee or give any warranty to the information provided.   Looking for a home loan?  Contact Loan Market's Matt Clayton, our preferred broker. He doesn't work for the banks, he works for you. Call him on 0414 877 333 or visit https://broker.loanmarket.com.au/lower-north-shore/",https://www.domain.com.au/31-2b-brady-street-mosman-nsw-2088-2020825286,y
MOS-019,Mosman,2088,2/60A Raglan Street,1175000.0,2026-06-26,privateTreaty,Apartment,2,1,1.0,3,4.15,,0,0,"Nestled within a tightly held Art Deco block of just eight in one of Mosman's most exclusive harbourside peninsula pockets, this charming ground-floor apartment delivers an exceptional blend of timeless character, impressive proportions and everyday practicality. Rich in Art Deco character and enhanced by high ceilings and windows on three sides, the home feels wonderfully bright, airy and inviting throughout, while the rarity of only one shared wall creates an added sense of peace and privacy. Generously scaled interiors unfold into a spacious two-bedroom layout, where warm hardwood flooring, leafy outlooks and a gas fireplace create an instantly welcoming atmosphere. Adding to the home's appeal is the seamless access onto the beautifully maintained common gardens, creating a wonderful sense of openness and an effortless extension of the living space rarely found in apartment living. The updated stone kitchen introduces modern functionality, while the oversized lock-up garage is a genuine standout, offering not only secure parking, but exceptional additional space for storage, bikes or lifestyle equipment with the convenience of internal access into the block. Positioned moments from Sirius Cove, Reid Park, Mosman Bay Wharf and South Mosman Wharf, the lifestyle on offer is equally compelling, with harbour foreshore walks, ferry access and village convenience all within easy reach. Combining enduring Art Deco appeal with outstanding liveability in a tightly held harbourside setting, this is a home of warmth, charm and long-term value in one of Mosman's most desirable enclaves.  - Ground-floor apartment within a tightly held Art Deco block of only eight - Only one shared wall, creating enhanced privacy and quiet enjoyment - Immediate access onto beautifully maintained common gardens - Spacious living and dining zones with hardwood floors and gas fireplace - Bright interiors with windows on three sides and leafy west-facing outlooks - Updated stone kitchen with gas cooktop and internal laundry facilities - Two generous bedrooms appointed with built-in robes and ceiling fans - Neat original bathroom with bath and overhead rainfall shower - High ceilings and exceptionally well-proportioned interiors throughout - Oversized lock-up garage with internal access, ideal for secure parking and substantial storage - Quietly positioned within one of Mosman's most desirable harbourside pockets - Easy walk to Sirius Cove, ferry wharves, harbour parks and Mosman Village  Disclaimer: All information contained herewith, including but not limited to the general property description, price and the address, is provided to Belle Property by third parties. We have obtained this information from sources we believe to be reliable; however, we cannot guarantee its accuracy. The information contained herewith should not be relied upon and you should make your own enquiries and seek advice in respect of this property or any property on this website.",https://www.domain.com.au/2-60a-raglan-street-mosman-nsw-2088-2020831480,y
MOS-020,Mosman,2088,22/96 Ourimbah Road,1025000.0,2026-07-03,privateTreaty,Apartment,2,1,1.0,3,5.66,,0,0,"Set well back from the street in a quiet and private position, this beautifully renovated two-bedroom apartment offers a warm and welcoming place to call home. With its perfect east-facing aspect, the apartment is filled with lovely morning sunlight and features a practical floorplan designed for comfortable, easy living.   The generous open-plan living and dining area flows out to a sunny balcony with a pleasant district outlook, the perfect spot to relax or enjoy your morning coffee. The as new kitchen is stylish and well-equipped, with plenty of storage and benchtop plus the added convenience of an internal laundry. Both bedrooms have built in robes and are bright and airy, enjoying plenty of natural light from the eastern aspect.   Positioned on the top floor, this delightful property also has a lock-up garage with auto door and an oversized storeroom, both on separate titles, offering flexibility and a rare opportunity for independent sale if desired.   Within 'Kenthurst', a highly regarded and meticulously maintained building, this apartment enjoys an excellent Mosman location just moments from Middle Harbour Public School and within easy walking distance of city transport. To fully appreciate this apartment, you really must inspect it.   Property Details Apartment Size: 77.1m² + Garage: 19.5m² + Storeroom 5.6m2 = Total Area: 102.2m² Position: Top Floor walk up, there is no lift Leasing Estimate: $900 - $950 per week Water: $210 per quarter approx Council: $388 per quarter approx Strata Levy: $1,182.50 per quarter Strata Report: Available by email at no charge upon request.  All information contained herein has been obtained from sources we believe to be reliable. However, we cannot guarantee its accuracy and interested parties should rely on their own enquiries.",https://www.domain.com.au/22-96-ourimbah-road-mosman-nsw-2088-2020858714,y
